mode,direction,magnitude_cm,site,error_mm,gof,realised_mm_mean
cap,anterior,0.938,11130,6.362839009083297,99.99603293995311,7.098562781813968
cap,anterior,0.938,9619,7.231309471791449,99.99753337796405,7.098562781813968
cap,anterior,0.938,7218,5.437047987471676,99.9995507619603,7.098562781813968
cap,anterior,0.938,7641,6.342329209312084,99.99737382903653,7.098562781813968
cap,anterior,0.938,9526,5.698763392005189,99.99743051157562,7.098562781813968
cap,anterior,0.938,534,1.4137146051673628,99.99729951192248,7.098562781813968
cap,anterior,0.938,19888,5.242219743520089,99.99809747569591,7.098562781813968
cap,anterior,0.938,14886,4.349396536510283,99.99817868789137,7.098562781813968
cap,anterior,1.5,1225,5.393814488016542,99.9938620603886,11.380980275690403
cap,anterior,1.5,18006,9.485476380611953,99.99366852533981,11.380980275690403
cap,anterior,1.5,20049,1.8203547226957915,99.98960736128363,11.380980275690403
cap,anterior,1.5,18871,10.552080720590395,99.99900919137004,11.380980275690403
cap,anterior,1.5,11130,9.924456202476463,99.98836836687353,11.380980275690403
cap,anterior,1.5,9619,10.14666247780333,99.99538805292356,11.380980275690403
cap,anterior,1.5,7218,8.774007687450386,99.99848394119238,11.380980275690403
cap,anterior,1.5,7641,9.9893973928057,99.99098899427628,11.380980275690403
cap,anterior,1.5,9526,9.099833918013324,99.99339834883735,11.380980275690403
cap,anterior,1.5,534,2.209956009399216,99.9944436110362,11.380980275690403
cap,anterior,1.5,19888,8.335379512564467,99.99520477893934,11.380980275690403
cap,anterior,1.5,14886,7.127800458152026,99.99547682186115,11.380980275690403
cap,anterior,2.0,1225,7.024793395953868,99.98988752946161,15.147829115955206
cap,anterior,2.0,18006,12.588800574433185,99.98956005801286,15.147829115955206
cap,anterior,2.0,20049,2.327273236513929,99.98092696312276,15.147829115955206
cap,anterior,2.0,18871,14.03489583654643,99.99664580210124,15.147829115955206
cap,anterior,2.0,11130,13.238249788848409,99.97790181548957,15.147829115955206
cap,anterior,2.0,9619,13.467905880146033,99.99223252627688,15.147829115955206
