key,mode,direction,target,magnitude_cm,realised_mm_mean,realised_mm_max,peak_rel_err_median,peak_rel_err_p90,channel_rel_err_median,channel_rel_err_p90,rdm_median,rdm_p90,lnmag_median,abs_lnmag_p90,d_asymmetry_median,d_asymmetry_p90,d_asymmetry_max,loc_err_median_mm,loc_err_p90_mm,loc_err_mean_mm
cap|anterior|0.25,cap,anterior,all,0.25,1.8909285947124477,2.688378136804042,0.028244639790289613,0.054323783763947454,0.028244639790289613,0.054323783763947454,0.02399453206115623,0.03714057966165064,-0.0022297207812163183,0.013450870148328265,0.005791364199549716,0.03568030916718709,1.4617698013664988,0.0,0.0,0.020035804622591625
cap|anterior|0.5,cap,anterior,all,0.5,3.778379681891169,5.377531488071624,0.056706300543288554,0.10813659409712764,0.056706300543288554,0.10813659409712764,0.0482415330410491,0.07384334259953929,-0.00448223304837392,0.0274218466345529,0.011646913740214093,0.07084673783075057,1.9060288577448972,0.0,1.9249153272244606,0.4491549356481035
cap|anterior|0.855,cap,anterior,all,0.855,6.4663325291536005,9.190833819281071,0.09661030307065574,0.1839542655587469,0.09661030307065574,0.1839542655587469,0.08231226689389176,0.12561947000325865,-0.007813719204773716,0.04758866748036771,0.019985713403550626,0.11986992247608047,1.915980747820195,0.0,7.964525979700153,2.4808964133994005
cap|anterior|0.938,cap,anterior,all,0.938,7.098562781813968,10.082311516454306,0.1060005190646986,0.20141871462739153,0.1060005190646986,0.20141871462739153,0.09023091377578932,0.1377237091112492,-0.008590059543047777,0.052386554942067766,0.02188289043539786,0.1310803876571231,1.9127050099776555,0.0,9.523172144193255,3.2292773282785547
cap|anterior|1.5,cap,anterior,all,1.5,11.380980275690403,16.215243901959756,0.1692279799671655,0.31718652622063415,0.1692279799671655,0.31718652622063415,0.14497384599143276,0.21947682842621835,-0.014878179288472564,0.0854818784888141,0.035329584943635806,0.20619608939582673,1.9167915359716852,5.304554740509657,17.336648364827738,7.470761015664163
cap|anterior|2.0,cap,anterior,all,2.0,15.147829115955206,21.578576076073787,0.22362439279115837,0.41365905641456513,0.22362439279115837,0.41365905641456513,0.1924670624015689,0.289637969673115,-0.02094750519314096,0.11558211150198218,0.0474146703013944,0.271319075771291,1.952356801810922,9.93475362046322,21.9313084453162,10.984829767192073
cap|posterior|0.25,cap,posterior,all,0.25,1.8925478251028387,2.6990574264014398,0.02819164900998774,0.05474398231941247,0.02819164900998774,0.05474398231941247,0.023956127390544535,0.03729291220615592,0.0019047614978125746,0.012974479522462917,0.0057176128881321064,0.034923980216039,1.6837267745668498,0.0,0.0,0.04004560494314315
cap|posterior|0.5,cap,posterior,all,0.5,3.779433436419831,5.389301314255897,0.0559288973844827,0.10903441355833585,0.0559288973844827,0.10903441355833585,0.047484040219631554,0.07424068603411504,0.0034447788864534912,0.025536415651764614,0.011291608222793958,0.06875577653223347,1.8282352186490065,0.0,2.2894321893629703,0.5422227240846546
cap|posterior|0.855,cap,posterior,all,0.855,6.470498535960189,9.290315283490736,0.09541606602430872,0.18547219175851634,0.09541606602430872,0.18547219175851634,0.08111131344717726,0.12802959207964668,0.00495915220756999,0.04233860878062901,0.019125603844501626,0.11495321585432827,1.8528057355115015,0.0,7.944719645702288,2.3866948819222156
cap|posterior|0.938,cap,posterior,all,0.938,7.0983355317314345,10.185965928916941,0.10453793438270406,0.2029130613719826,0.10453793438270406,0.2029130613719826,0.08898811918496509,0.140567358881275,0.005265983631996438,0.04640014601183777,0.020922544648816738,0.12547773280518015,1.8930115546600257,0.0,9.25970704721732,2.999963728226423
cap|posterior|1.5,cap,posterior,all,1.5,11.356948017380981,16.472053098745782,0.1654002108606817,0.3195365574881717,0.1654002108606817,0.3195365574881717,0.14132022582942588,0.22471942764573363,0.006829681933073942,0.07247690645667804,0.03288589424337679,0.19205898038104594,1.9134780373308078,4.718635323657396,16.94993671740186,6.947307735661427
cap|posterior|2.0,cap,posterior,all,2.0,15.134246222910384,21.925888034830535,0.2193265144348993,0.4192497137370394,0.2193265144348993,0.4192497137370394,0.18780183605972287,0.29787399251096064,0.0072097200275613015,0.09442795445867978,0.043152216177347005,0.24825006953552278,1.8606840680124677,10.552812309879364,21.306180587543356,10.756302344865892
cap|left|0.25,cap,left,all,0.25,1.764533432042823,2.70617352245715,0.027608452442752257,0.05315044634729838,0.027608452442752257,0.05315044634729838,0.02238911004611441,0.037257545455075376,5.268034093144462e-07,0.015289972489423577,0.010463695511632218,0.034841129565526624,1.64522118039465,0.0,0.0,0.016704840220910438
cap|left|0.5,cap,left,all,0.5,3.5330105311299493,5.416355503772192,0.05511723468507593,0.10516354041867873,0.05511723468507593,0.10516354041867873,0.04479640890376689,0.07431993724111154,2.4840786778603527e-06,0.02990875895868414,0.020836239335583984,0.0689614255388494,1.8422843395163375,0.0,2.08645003453518,0.48097392864181726
cap|left|0.855,cap,left,all,0.855,6.030410730992615,9.241823810995045,0.0931765443599144,0.1782330729867978,0.0931765443599144,0.1782330729867978,0.07597491928552466,0.1264013559960777,-0.00026252126810271396,0.050615039805912726,0.03535590905177071,0.11563853904666153,1.665130430309235,0.0,6.347279718715266,1.954455361807682
cap|left|0.938,cap,left,all,0.938,6.621184232718387,10.133343634397038,0.1021933043804105,0.19555494562159562,0.1021933043804105,0.19555494562159562,0.0834592573189831,0.1390917630111492,-0.0003648013795282698,0.05535969569908234,0.03881177532800052,0.12686172616864938,1.7439534765296199,0.0,7.364212521551468,2.4608830867485083
cap|left|1.5,cap,left,all,1.5,10.587074040895946,16.12211812736804,0.1617214028453983,0.30938736632081854,0.1617214028453983,0.30938736632081854,0.13275732808093244,0.2214932814231982,-0.0011166643319406285,0.08490330185098222,0.06153385785494911,0.1975691288342692,1.9164078722506352,4.38339790235813,16.035085795487035,6.4412414376555525
cap|left|2.0,cap,left,all,2.0,14.090544279150379,21.429326506904346,0.21263355324584043,0.4081753420257458,0.21263355324584043,0.4081753420257458,0.17622059496436232,0.2954523260373376,-0.002145439438553223,0.10717878069873865,0.0810652700567761,0.2584775522520437,1.9671320541046042,7.8483277163238085,20.74966946393464,9.724568142482676
cap|right|0.25,cap,right,all,0.25,1.7626339536926576,2.70087587468394,0.02735777046758149,0.05300673023114105,0.02735777046758149,0.05300673023114105,0.022205564058416446,0.03690525513202565,-0.00016760437174790022,0.015269657363103503,0.010465401609707714,0.034720804724116275,1.6116078202979804,0.0,0.0,0.03008964193074322
